CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdParametreEnv;LbLongParametre;RsParEnvOpPrelBio;CdUniteMesure;SymUniteMesure;CdRqParEnvPrelBio;MnemoRqParEnvPrelBio;CdMethodeParEnvPrelBio;NomMethodeParEnvPrelBio;RefOperationPrelBio;CdStatutParEnvPrelBio;MnStatutParEnvPrelBio;CdQualParEnvPrelBio;LbQualParEnvPrelBio;DateParEnvPrelBio;CdProducteur;NomProducteur
3080339;LA SEINE A ALFORTVILLE 2;005;4;Poissons;1987-08-18;1301;Température de l'Eau;21.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe804eta1_1987-08-18_16:00:00_03080339;1;Donnée brute;1;Correcte;1987-08-18;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2025-08-25;1303;Conductivité à 25°C;730.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe95126eta2_SurfEchMc650.4_SBVDKmc88.0_DSrcKm16.0_LarMEauM5.42_PntCEPM2.9_ProfMStaM0.44_AltM59_TAir1C4.1_TAir7C19.8;1;Donnée brute;0;Qualification non definissable;2025-08-25;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2021-08-23;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220823100214-HB-526417;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2021-08-23;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2020-09-07;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220104120757-HB-505756;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-09-07;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1996-09-12;1301;Température de l'Eau;18.8;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe45566eta1_1996-09-12_10:30:00_03112480;1;Donnée brute;1;Correcte;1996-09-12;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112384;LA MARNE A CRETEIL 3;005;4;Poissons;1991-10-09;1303;Conductivité à 25°C;450.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe849eta1_1991-10-09_09:30:00_03112384;1;Donnée brute;0;Qualification non definissable;1991-10-09;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;1997-09-10;1301;Température de l'Eau;20.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe918eta1_1997-09-10_10:00:00_03112088;1;Donnée brute;1;Correcte;1997-09-10;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2012-06-05;1303;Conductivité à 25°C;488.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2345eta2_SurfEchMc1250.00_SBVDKmc33101.00_DSrcKm411.00_LarMEauM138.00_PntCEPM0.10_ProfMStaM3.25_AltM29_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2012-06-05;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;007;27;Macrophytes;2015-07-21;1425;Conditions météorologiques pendant le prélèvement;Ensoleillé;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130182957-HB-10690;1;Donnée brute;4;Non qualifié;2015-07-21;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2005-06-16;1303;Conductivité à 25°C;609.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1544eta2_SurfEchMc1250.00_SBVDKmc12752.00_DSrcKm493.00_LarMEauM90.00_PntCEPM0.10_ProfMStaM2.00_AltM35_TAir1C4.5_TAir7C20.3;1;Donnée brute;0;Qualification non definissable;2005-06-16;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2013-07-11;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180201135915-HB-15111;1;Donnée brute;4;Non qualifié;2013-07-11;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2001-06-21;1303;Conductivité à 25°C;0.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe966eta1_2001-06-21_14:00:00_03112480;1;Donnée brute;0;Qualification non definissable;2001-06-21;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112000;LA MARNE A JOINVILLE-LE-PONT 1;004;10;Diatomées benthiques;2012-08-07;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180201135902-HB-14521;1;Donnée brute;4;Non qualifié;2012-08-07;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2023-08-23;1301;Température de l'Eau;23.9;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe91440eta2_SurfEchMc1250.0_SBVDKmc33101.0_DSrcKm411.0_LarMEauM127.0_PntCEPM0.1_ProfMStaM3.34_AltM32_TAir1C4.5_TAir7C20.4;1;Donnée brute;1;Correcte;2023-08-23;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1990-10-30;1301;Température de l'Eau;13.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe836eta1_1990-10-30_14:00:00_03063000;1;Donnée brute;1;Correcte;1990-10-30;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079097;L'YERRES A PERIGNY 1;005;4;Poissons;2001-08-28;1303;Conductivité à 25°C;0.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe982eta1_2001-08-28_10:00:00_03079097;1;Donnée brute;0;Qualification non definissable;2001-08-28;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2018-09-24;1301;Température de l'Eau;19.1;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe39384eta2_SurfEchMc1250.0_SBVDKmc12684.7_DSrcKm493.0_LarMEauM68.5_PntCEPM0.1_ProfMStaM3.34_AltM35_TAir1C4.5_TAir7C20.3;1;Donnée brute;1;Correcte;2018-09-24;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063294;VALENTON 1;005;4;Poissons;1989-06-08;1303;Conductivité à 25°C;2000.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe828eta1_1989-06-08_21:00:00_03063294;1;Donnée brute;0;Qualification non definissable;1989-06-08;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;007;27;Macrophytes;2018-08-16;1725;Situation hydrologique;Etiage normal;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20190327182054-HB-346690;1;Donnée brute;4;Non qualifié;2018-08-16;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2022-10-06;1303;Conductivité à 25°C;500.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe88857eta2_SurfEchMc618.8_SBVDKmc88.0_DSrcKm16.0_LarMEauM5.2_PntCEPM2.9_ProfMStaM0.45_AltM59_TAir1C4.1_TAir7C19.8;1;Donnée brute;0;Qualification non definissable;2022-10-06;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2020-06-15;5473;Visibilité du fond;Fonds non visibles;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220104120756-HB-505753;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-06-15;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2020-07-30;1303;Conductivité à 25°C;455.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe84761eta2_SurfEchMc1250.0_SBVDKmc33101.0_DSrcKm411.0_LarMEauM125.5_PntCEPM0.1_ProfMStaM3.11_AltM32_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2020-07-30;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2022-08-08;1301;Température de l'Eau;24.9;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe88853eta2_SurfEchMc1250.0_SBVDKmc33101.0_DSrcKm411.0_LarMEauM127.0_PntCEPM0.1_ProfMStaM3.21_AltM32_TAir1C4.5_TAir7C20.4;1;Donnée brute;1;Correcte;2022-08-08;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112348;LA MARNE A BONNEUIL-SUR-MARNE 1;005;4;Poissons;2010-06-30;1301;Température de l'Eau;24.5;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2120eta2_SurfEchMc1250.00_SBVDKmc12600.00_DSrcKm505.00_LarMEauM70.00_PntCEPM0.10_ProfMStaM4.80_AltM31_TAir1C4.6_TAir7C20.4;1;Donnée brute;1;Correcte;2010-06-30;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;004;10;Diatomées benthiques;2021-09-02;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220818101728-HB-524939;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2021-09-02;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2023-08-01;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20240717100432-HB-578708;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2023-08-01;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2007-06-27;1301;Température de l'Eau;17.5;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1778eta2_SurfEchMc1250.0_SBVDKmc12731.7_DSrcKm500.0_LarMEauM60.0_PntCEPM0.1_ProfMStaM3.5_AltM33_TAir1C4.5_TAir7C20.2;1;Donnée brute;1;Correcte;2007-06-27;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;1997-05-28;1301;Température de l'Eau;18.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe913eta1_1997-05-28_10:30:00_03112088;1;Donnée brute;1;Correcte;1997-05-28;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2004-06-23;1301;Température de l'Eau;18.5;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1495eta2_SurfEchMc650.00_SBVDKmc88.00_DSrcKm16.00_LarMEauM5.00_PntCEPM2.90_ProfMStaM0.80_AltM59_TAir1C4.1_TAir7C19.8;1;Donnée brute;1;Correcte;2004-06-23;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063801;CRETEIL 1;005;4;Poissons;1996-07-02;1303;Conductivité à 25°C;0.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe45998eta1_1996-07-02_10:00:00_03063801;1;Donnée brute;0;Qualification non definissable;1996-07-02;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;004;10;Diatomées benthiques;2020-07-23;1725;Situation hydrologique;Etiage;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20210630105458-HB-490849;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-07-23;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2003-06-17;1303;Conductivité à 25°C;490.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe986eta2_SurfEchMc1202.00_SBVDKmc33101.00_DSrcKm411.00_LarMEauM150.00_PntCEPM0.10_ProfMStaM3.65_AltM29_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2003-06-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2009-06-17;1303;Conductivité à 25°C;572.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2024eta2_SurfEchMc1250.0_SBVDKmc12731.7_DSrcKm500.0_LarMEauM60.0_PntCEPM0.1_ProfMStaM2.7_AltM33_TAir1C4.5_TAir7C20.2;1;Donnée brute;0;Qualification non definissable;2009-06-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;007;27;Macrophytes;2012-08-07;1425;Conditions météorologiques pendant le prélèvement;Fortement nuageux;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130183006-HB-11001;1;Donnée brute;4;Non qualifié;2012-08-07;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063294;VALENTON 1;005;4;Poissons;1989-06-08;1303;Conductivité à 25°C;2000.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe827eta1_1989-06-08_16:00:00_03063294;1;Donnée brute;0;Qualification non definissable;1989-06-08;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112348;LA MARNE A BONNEUIL-SUR-MARNE 1;005;4;Poissons;2007-06-28;1303;Conductivité à 25°C;560.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1779eta2_SurfEchMc1250.00_SBVDKmc12600.00_DSrcKm505.00_LarMEauM70.00_PntCEPM0.10_ProfMStaM3.40_AltM31_TAir1C4.6_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2007-06-28;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2000-04-19;1303;Conductivité à 25°C;599.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe957eta1_2000-04-19_14:00:00_03112480;1;Donnée brute;0;Qualification non definissable;2000-04-19;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2000-04-17;1301;Température de l'Eau;12.2;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe956eta1_2000-04-17_14:00:00_03063000;1;Donnée brute;1;Correcte;2000-04-17;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;007;27;Macrophytes;2020-06-25;1725;Situation hydrologique;Etiage normal;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20210630105048-HB-490829;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2020-06-25;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3063000;LA SEINE A ABLON-SUR-SEINE 2;007;27;Macrophytes;2013-08-14;1725;Situation hydrologique;Etiage normal;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130182957-HB-10689;1;Donnée brute;4;Non qualifié;2013-08-14;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2000-04-20;1301;Température de l'Eau;12.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe958eta1_2000-04-20_10:00:00_03112088;1;Donnée brute;1;Correcte;2000-04-20;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2023-08-23;1303;Conductivité à 25°C;410.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe91440eta2_SurfEchMc1250.0_SBVDKmc33101.0_DSrcKm411.0_LarMEauM127.0_PntCEPM0.1_ProfMStaM3.34_AltM32_TAir1C4.5_TAir7C20.4;1;Donnée brute;0;Qualification non definissable;2023-08-23;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2024-09-25;5916;Bloom algal;0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20250618165003-HB-600989;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2024-09-25;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1993-09-22;1303;Conductivité à 25°C;380.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe863eta1_1993-09-22_15:00:00_03063000;1;Donnée brute;0;Qualification non definissable;1993-09-22;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;1998-05-28;1303;Conductivité à 25°C;0.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe935eta1_1998-05-28_10:00:00_03112430;1;Donnée brute;0;Qualification non definissable;1998-05-28;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;1991-10-01;1303;Conductivité à 25°C;0.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe841eta1_1991-10-01_10:25:00_03063000;1;Donnée brute;0;Qualification non definissable;1991-10-01;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;2009-06-24;1301;Température de l'Eau;19.3;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2023eta2_SurfEchMc1250.0_SBVDKmc12824.4_DSrcKm510.0_LarMEauM70.0_PntCEPM0.1_ProfMStaM3.1_AltM33_TAir1C4.8_TAir7C20.8;1;Donnée brute;1;Correcte;2009-06-24;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2012-06-05;1303;Conductivité à 25°C;544.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe2344eta2_SurfEchMc1250.00_SBVDKmc12752.00_DSrcKm493.00_LarMEauM79.00_PntCEPM0.10_ProfMStaM3.43_AltM35_TAir1C4.5_TAir7C20.3;1;Donnée brute;0;Qualification non definissable;2012-06-05;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;1999-04-29;1303;Conductivité à 25°C;499.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe940eta1_1999-04-29_10:00:00_03112430;1;Donnée brute;0;Qualification non definissable;1999-04-29;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1999-10-20;1303;Conductivité à 25°C;519.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe947eta1_1999-10-20_10:00:00_03112480;1;Donnée brute;0;Qualification non definissable;1999-10-20;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;1997-05-28;1301;Température de l'Eau;19.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe914eta1_1997-05-28_14:00:00_03112430;1;Donnée brute;1;Correcte;1997-05-28;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2005-06-15;1301;Température de l'Eau;20.3;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1543eta2_2005-06-15_00:00:00_03112088;1;Donnée brute;1;Correcte;2005-06-15;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2016-09-06;1301;Température de l'Eau;18.6;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe4979eta1_2016-09-06_15:00:00_03079622;1;Donnée brute;1;Correcte;2016-09-06;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;2003-06-18;1301;Température de l'Eau;23.0;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe988eta2_2003-06-18_09:00:00_03112430;1;Donnée brute;1;Correcte;2003-06-18;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1999-10-20;1301;Température de l'Eau;12.2;27;°C;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe947eta1_1999-10-20_10:00:00_03112480;1;Donnée brute;1;Correcte;1999-10-20;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2021-08-02;1425;Conditions météorologiques pendant le prélèvement;Faiblement nuageux;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20220823100212-HB-526415;2;Donnée contrôlée niveau 1 (données contrôlées);1;Correcte;2021-08-02;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;2008-07-09;1303;Conductivité à 25°C;522.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe1912eta2_SurfEchMc1250.0_SBVDKmc12731.7_DSrcKm500.0_LarMEauM60.0_PntCEPM0.1_ProfMStaM2.7_AltM33_TAir1C4.5_TAir7C20.2;1;Donnée brute;0;Qualification non definissable;2008-07-09;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2014-08-27;1303;Conductivité à 25°C;616.0;147;µS/cm;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;Aspe4852eta1_2014-08-27_13:00:00_03112480;1;Donnée brute;0;Qualification non definissable;2014-08-27;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3080660;LA SEINE A ALFORTVILLE 3;007;27;Macrophytes;2011-08-17;6498;Turbidite;Faible;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;0;Méthode inconnue;20180130182957-HB-10691;1;Donnée brute;4;Non qualifié;2011-08-17;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
